No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
14,Month,June,October ,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
1,Month,January,May,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
15,Month,July,November ,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
8,Month,August,December,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
2,Month,February,June,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
6,Month,June,October ,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
16,Month,August,December,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
10,Month,February,June,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
4,Month,April,August,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
12,Month,April,August,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
32,Month,August,December,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
29,Month,May,September ,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
27,Month,March,July,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
